game_pk,temperature,Park
718773.0,61.0,Great American Ball Park
718774.0,76.0,loanDepot park
718781.0,39.0,Yankee Stadium
718769.0,52.0,Oakland Coliseum
718778.0,56.0,Petco Park
718772.0,70.0,Busch Stadium
718777.0,42.0,Wrigley Field
718770.0,54.0,Dodger Stadium
718776.0,72.0,Tropicana Field
718767.0,54.0,T-Mobile Park
718768.0,73.0,Minute Maid Park
718780.0,45.0,Nationals Park
718775.0,67.0,Kauffman Stadium
718782.0,38.0,Fenway Park
718779.0,69.0,Globe Life Field
718668.0,53.0,Citizens Bank Park
718659.0,44.0,Truist Park
718664.0,51.0,Oriole Park at Camden Yards
718660.0,65.0,American Family Field
718669.0,57.0,Wrigley Field
718663.0,45.0,Progressive Field
718661.0,52.0,Citi Field
718665.0,72.0,Tropicana Field
718658.0,65.0,Coors Field
718662.0,51.0,PNC Park
718657.0,63.0,Angel Stadium
718656.0,81.0,Chase Field
718666.0,56.0,Target Field
718672.0,59.0,Oracle Park
718667.0,50.0,Comerica Park
717465.0,85.0,Nationals Park
717455.0,72.0,Guaranteed Rate Field
717464.0,80.0,Yankee Stadium
717466.0,72.0,loanDepot park
717463.0,75.0,Progressive Field
717454.0,67.0,Petco Park
717452.0,74.0,Chase Field
717458.0,73.0,Target Field
717457.0,79.0,Comerica Park
717459.0,77.0,American Family Field
717453.0,73.0,Minute Maid Park
717460.0,72.0,Tropicana Field
717461.0,82.0,Fenway Park
717448.0,60.0,Oracle Park
717456.0,69.0,Dodger Stadium
717436.0,65.0,Petco Park
717440.0,73.0,Minute Maid Park
717441.0,72.0,Tropicana Field
717447.0,83.0,Yankee Stadium
717439.0,76.0,Chase Field
717442.0,69.0,Comerica Park
717445.0,65.0,Guaranteed Rate Field
717443.0,72.0,Progressive Field
717449.0,78.0,Fenway Park
717438.0,72.0,loanDepot park
717444.0,75.0,American Family Field
717446.0,76.0,Target Field
717450.0,87.0,Nationals Park
717437.0,73.0,Dodger Stadium
717451.0,62.0,Oracle Park
717422.0,60.0,Oracle Park
717433.0,79.0,Yankee Stadium
717423.0,70.0,Petco Park
717428.0,80.0,Target Field
717427.0,75.0,American Family Field
717430.0,73.0,Minute Maid Park
717425.0,77.0,Chase Field
717426.0,72.0,loanDepot park
717432.0,83.0,Nationals Park
717434.0,73.0,Progressive Field
717424.0,80.0,Guaranteed Rate Field
717431.0,74.0,Comerica Park
717435.0,80.0,Fenway Park
717429.0,72.0,Tropicana Field
717413.0,82.0,Citi Field
717412.0,91.0,Great American Ball Park
717417.0,81.0,Oriole Park at Camden Yards
717420.0,73.0,Rogers Centre
717414.0,86.0,Truist Park
717418.0,87.0,Citizens Bank Park
717405.0,85.0,Angel Stadium
717419.0,86.0,Wrigley Field
717406.0,80.0,T-Mobile Park
717416.0,85.0,PNC Park
717415.0,74.0,Globe Life Field
717410.0,82.0,Coors Field
717409.0,71.0,Oakland Coliseum
717407.0,91.0,Busch Stadium
717398.0,86.0,PNC Park
717399.0,80.0,Oakland Coliseum
717400.0,79.0,Citi Field
717389.0,77.0,Angel Stadium
717408.0,90.0,Citizens Bank Park
717395.0,86.0,Truist Park
717390.0,84.0,T-Mobile Park
717404.0,68.0,Rogers Centre
717397.0,86.0,Citizens Bank Park
717411.0,86.0,Kauffman Stadium
717392.0,75.0,Great American Ball Park
717402.0,74.0,Globe Life Field
